iter	Logloss
0	0.6145961535
1	0.5580842179
2	0.5099596694
3	0.4699025263
4	0.4417750041
5	0.41608955
6	0.3949979321
7	0.3812846005
8	0.3677456651
9	0.3571595144
10	0.3479921524
11	0.3379704724
12	0.3299626738
13	0.3231577416
14	0.3169557058
15	0.3124594144
16	0.3071371279
17	0.3044623806
18	0.3008484165
19	0.2968359124
20	0.2943984776
21	0.2918661806
22	0.2887392436
23	0.2851603434
24	0.2810440412
25	0.2789815441
26	0.2758263017
27	0.2739156436
28	0.27128082
29	0.2690006935
30	0.2673449582
31	0.2653381139
32	0.2621160359
33	0.2593916976
34	0.257860175
35	0.2564327466
36	0.2557856242
37	0.2542292625
38	0.2521794289
39	0.250629338
40	0.2480442622
41	0.2466809173
42	0.2448868947
43	0.2424373888
44	0.2398907039
45	0.239187528
46	0.2373274712
47	0.2358612339
48	0.2341475291
49	0.2324238259
