iter	Passed	Remaining
0	7	366
1	13	314
2	19	301
3	25	290
4	30	278
5	37	276
6	44	270
7	51	268
8	56	259
9	62	249
10	68	243
11	74	234
12	79	226
13	86	221
14	91	214
15	97	207
16	103	201
17	109	194
18	115	188
19	121	181
20	126	174
21	132	168
22	138	162
23	144	156
24	165	165
25	172	158
26	178	152
27	187	146
28	193	139
29	200	133
30	206	126
31	212	119
32	218	112
33	223	105
34	229	98
35	234	91
36	240	84
37	246	77
38	252	71
39	259	64
40	265	58
41	271	51
42	277	45
43	283	38
44	289	32
45	294	25
46	300	19
47	305	12
48	311	6
49	316	0
